epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1119.48,1.21088,1.64528,0.7668,0.93632,0.91686,0.88889,0.93524,0.59186,0.90049,0.87302,0.90424,0.44816,1.31524,2.35803,1.30452,1.06819,0.0003713,0.0003713,0.0003713
54,1140.63,1.27677,1.71865,0.86917,1.02456,0.91853,0.89481,0.93484,0.59213,0.90223,0.87894,0.88974,0.46102,1.29276,2.26757,1.12268,1.06481,0.000368825,0.000368825,0.000368825
55,1165.43,1.1997,1.59022,0.79162,0.95064,0.91853,0.89481,0.93484,0.59213,0.90223,0.87894,0.88974,0.46102,1.29276,2.26757,1.12268,1.06481,0.00036635,0.00036635,0.00036635
56,1185.82,1.08948,1.52565,0.8505,0.92683,0.91853,0.89481,0.93484,0.59213,0.90223,0.87894,0.88974,0.46102,1.29276,2.26757,1.12268,1.06481,0.000363875,0.000363875,0.000363875
57,1206.48,1.17358,1.61465,0.76726,0.9077,0.91853,0.89481,0.93484,0.59213,0.90223,0.87894,0.88974,0.46102,1.29276,2.26757,1.12268,1.06481,0.0003614,0.0003614,0.0003614
58,1229.05,1.1312,1.50383,0.81278,0.93713,0.93422,0.90184,0.92893,0.59522,0.91783,0.88653,0.88855,0.45755,1.27523,2.2542,1.00146,1.06015,0.000358925,0.000358925,0.000358925
59,1251.46,1.15771,1.6647,0.74291,0.96006,0.93422,0.90184,0.92893,0.59522,0.91783,0.88653,0.88855,0.45755,1.27523,2.2542,1.00146,1.06015,0.00035645,0.00035645,0.00035645
60,1275.26,1.2275,1.63853,0.77934,0.94699,0.93422,0.90184,0.92893,0.59522,0.91783,0.88653,0.88855,0.45755,1.27523,2.2542,1.00146,1.06015,0.000353975,0.000353975,0.000353975
61,1294.21,1.08344,1.47482,0.76928,0.94898,0.93422,0.90184,0.92893,0.59522,0.91783,0.88653,0.88855,0.45755,1.27523,2.2542,1.00146,1.06015,0.0003515,0.0003515,0.0003515
62,1315.15,1.20713,1.6471,0.80757,0.92403,0.92036,0.91719,0.92754,0.59317,0.90448,0.90182,0.8886,0.46574,1.25512,2.19097,0.91002,1.04727,0.000349025,0.000349025,0.000349025
63,1335.83,1.20551,1.59876,0.76841,0.98247,0.92036,0.91719,0.92754,0.59317,0.90448,0.90182,0.8886,0.46574,1.25512,2.19097,0.91002,1.04727,0.00034655,0.00034655,0.00034655
