epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,354.103,1.33831,1.47457,0.83639,0.87494,0.95455,0.92564,0.63924,1.14543,1.09116,0.87706,0.0012938,0.0012938,0.0012938
109,358.352,1.18557,1.51067,0.81336,0.87494,0.95455,0.92564,0.63924,1.14543,1.09116,0.87706,0.0012872,0.0012872,0.0012872
110,362.596,1.14344,1.21244,0.74703,0.90951,0.95455,0.94249,0.67958,1.07982,1.04457,0.8753,0.0012806,0.0012806,0.0012806
111,367.211,0.98758,0.92382,0.9126,0.90951,0.95455,0.94249,0.67958,1.07982,1.04457,0.8753,0.001274,0.001274,0.001274
112,370.971,0.94642,1.19926,0.8106,0.90951,0.95455,0.94249,0.67958,1.07982,1.04457,0.8753,0.0012674,0.0012674,0.0012674
113,374.68,0.67333,2.40498,0.39766,0.90951,0.95455,0.94249,0.67958,1.07982,1.04457,0.8753,0.0012608,0.0012608,0.0012608
114,378.818,1.28858,1.10147,0.85799,0.99899,0.95455,0.95517,0.69191,0.9808,1.05627,0.86719,0.0012542,0.0012542,0.0012542
115,381.98,1.44676,1.80651,0.82809,0.99899,0.95455,0.95517,0.69191,0.9808,1.05627,0.86719,0.0012476,0.0012476,0.0012476
116,384.816,1.323,1.16197,0.78269,0.99899,0.95455,0.95517,0.69191,0.9808,1.05627,0.86719,0.001241,0.001241,0.001241
117,387.739,1.00781,1.63803,0.82453,0.99899,0.95455,0.95517,0.69191,0.9808,1.05627,0.86719,0.0012344,0.0012344,0.0012344
118,390.576,1.23379,1.1102,0.80231,0.99876,0.95455,0.95517,0.66432,0.93293,1.05551,0.86296,0.0012278,0.0012278,0.0012278
119,393.336,1.0594,1.20948,0.91121,0.99876,0.95455,0.95517,0.66432,0.93293,1.05551,0.86296,0.0012212,0.0012212,0.0012212
120,396.124,1.54387,1.06993,0.87586,0.99876,0.95455,0.95517,0.66432,0.93293,1.05551,0.86296,0.0012146,0.0012146,0.0012146
121,398.972,0.56412,2.27294,0.42338,0.99876,0.95455,0.95517,0.66432,0.93293,1.05551,0.86296,0.001208,0.001208,0.001208
122,401.793,1.30468,1.76357,0.72434,0.99944,0.95455,0.95517,0.653,0.96239,1.04032,0.86308,0.0012014,0.0012014,0.0012014
123,404.427,1.27962,1.2056,0.82353,0.99944,0.95455,0.95517,0.653,0.96239,1.04032,0.86308,0.0011948,0.0011948,0.0011948
124,407.021,1.20329,1.49718,0.7824,0.99944,0.95455,0.95517,0.653,0.96239,1.04032,0.86308,0.0011882,0.0011882,0.0011882
125,409.624,1.37049,1.45569,0.85513,0.99944,0.95455,0.95517,0.653,0.96239,1.04032,0.86308,0.0011816,0.0011816,0.0011816
126,412.24,0.51349,1.99811,0.43978,0.94229,0.95455,0.9529,0.63287,0.94634,1.03754,0.86262,0.001175,0.001175,0.001175
127,414.859,0.99545,1.05959,0.87444,0.94229,0.95455,0.9529,0.63287,0.94634,1.03754,0.86262,0.0011684,0.0011684,0.0011684
128,417.815,1.23024,1.22655,0.86778,0.94229,0.95455,0.9529,0.63287,0.94634,1.03754,0.86262,0.0011618,0.0011618,0.0011618
129,420.913,1.26735,2.343,0.70022,0.94229,0.95455,0.9529,0.63287,0.94634,1.03754,0.86262,0.0011552,0.0011552,0.0011552
130,424.187,1.04696,1.37932,0.88487,1,0.94954,0.95517,0.65728,0.96852,0.97743,0.85724,0.0011486,0.0011486,0.0011486
131,427.129,1.06807,0.9258,0.80357,1,0.94954,0.95517,0.65728,0.96852,0.97743,0.85724,0.001142,0.001142,0.001142
132,430.076,0.54821,2.1649,0.37305,1,0.94954,0.95517,0.65728,0.96852,0.97743,0.85724,0.0011354,0.0011354,0.0011354
133,433.14,0.9293,0.97469,0.8001,1,0.94954,0.95517,0.65728,0.96852,0.97743,0.85724,0.0011288,0.0011288,0.0011288
134,436.296,1.18892,1.03158,0.79941,0.99606,0.95455,0.95517,0.64873,0.99368,0.99406,0.85682,0.0011222,0.0011222,0.0011222
135,439.224,1.08729,1.16084,0.82012,0.99606,0.95455,0.95517,0.64873,0.99368,0.99406,0.85682,0.0011156,0.0011156,0.0011156
136,442.132,0.82515,1.48942,0.76995,0.99606,0.95455,0.95517,0.64873,0.99368,0.99406,0.85682,0.001109,0.001109,0.001109
137,445.033,0.46011,2.28428,0.42855,0.99606,0.95455,0.95517,0.64873,0.99368,0.99406,0.85682,0.0011024,0.0011024,0.0011024
138,448.115,1.23454,1.18962,0.84616,0.94697,0.95455,0.95517,0.65174,0.96902,1.046,0.85718,0.0010958,0.0010958,0.0010958
139,451.077,1.27945,1.31539,0.78653,0.94697,0.95455,0.95517,0.65174,0.96902,1.046,0.85718,0.0010892,0.0010892,0.0010892
140,453.759,1.50224,1.64084,0.78727,0.94697,0.95455,0.95517,0.65174,0.96902,1.046,0.85718,0.0010826,0.0010826,0.0010826
141,456.651,1.08612,1.11282,0.87986,0.94697,0.95455,0.95517,0.65174,0.96902,1.046,0.85718,0.001076,0.001076,0.001076
142,459.628,1.31928,1.24869,0.96566,0.94174,0.95455,0.9529,0.64576,0.9386,1.00914,0.8513,0.0010694,0.0010694,0.0010694
143,462.515,0.60625,2.11367,0.41224,0.94174,0.95455,0.9529,0.64576,0.9386,1.00914,0.8513,0.0010628,0.0010628,0.0010628
144,465.316,1.39593,1.38235,0.92956,0.94174,0.95455,0.9529,0.64576,0.9386,1.00914,0.8513,0.0010562,0.0010562,0.0010562
145,468.09,1.42149,1.49795,0.90922,0.94174,0.95455,0.9529,0.64576,0.9386,1.00914,0.8513,0.0010496,0.0010496,0.0010496
146,471.011,0.99718,0.95109,0.76098,0.98994,0.95455,0.95544,0.68446,0.914,0.90584,0.85014,0.001043,0.001043,0.001043
147,473.71,2.30589,1.8854,1.17475,0.98994,0.95455,0.95544,0.68446,0.914,0.90584,0.85014,0.0010364,0.0010364,0.0010364
148,476.613,1.37092,0.90335,0.78082,0.98994,0.95455,0.95544,0.68446,0.914,0.90584,0.85014,0.0010298,0.0010298,0.0010298
149,479.423,1.72193,2.52186,0.83108,0.98994,0.95455,0.95544,0.68446,0.914,0.90584,0.85014,0.0010232,0.0010232,0.0010232
150,482.177,0.86998,1.1228,0.85696,0.99735,0.95455,0.95517,0.73809,0.89038,0.82181,0.84469,0.0010166,0.0010166,0.0010166
151,485.001,1.08362,1.24193,0.86156,0.99735,0.95455,0.95517,0.73809,0.89038,0.82181,0.84469,0.00101,0.00101,0.00101
152,487.778,1.22271,1.01843,0.8474,0.99735,0.95455,0.95517,0.73809,0.89038,0.82181,0.84469,0.0010034,0.0010034,0.0010034
153,490.568,1.17212,1.11255,0.9361,0.99735,0.95455,0.95517,0.73809,0.89038,0.82181,0.84469,0.0009968,0.0009968,0.0009968
154,493.296,0.94356,0.80543,0.76937,0.99812,0.95455,0.95517,0.73186,0.88434,0.85594,0.8417,0.0009902,0.0009902,0.0009902
155,496.022,1.27465,0.9738,0.86089,0.99812,0.95455,0.95517,0.73186,0.88434,0.85594,0.8417,0.0009836,0.0009836,0.0009836
156,498.773,1.16247,1.50604,0.72432,0.99812,0.95455,0.95517,0.73186,0.88434,0.85594,0.8417,0.000977,0.000977,0.000977
157,501.454,1.11841,1.20223,0.85607,0.99812,0.95455,0.95517,0.73186,0.88434,0.85594,0.8417,0.0009704,0.0009704,0.0009704
158,504.23,1.81632,1.11196,0.85681,0.99773,0.95455,0.95517,0.72312,0.8978,0.91452,0.8409,0.0009638,0.0009638,0.0009638
159,506.85,0.82073,0.85395,0.81168,0.99773,0.95455,0.95517,0.72312,0.8978,0.91452,0.8409,0.0009572,0.0009572,0.0009572
160,509.598,0.87461,1.05763,0.7575,0.99773,0.95455,0.95517,0.72312,0.8978,0.91452,0.8409,0.0009506,0.0009506,0.0009506
161,512.323,0.95206,0.94088,0.95402,0.99773,0.95455,0.95517,0.72312,0.8978,0.91452,0.8409,0.000944,0.000944,0.000944
162,515.125,0.75768,1.03205,0.86802,0.99585,0.95455,0.95517,0.70005,0.91271,0.91431,0.84338,0.0009374,0.0009374,0.0009374
163,517.968,0.72048,1.04106,0.83367,0.99585,0.95455,0.95517,0.70005,0.91271,0.91431,0.84338,0.0009308,0.0009308,0.0009308
164,520.702,1.09201,1.25318,0.74338,0.99585,0.95455,0.95517,0.70005,0.91271,0.91431,0.84338,0.0009242,0.0009242,0.0009242
165,523.544,0.87418,1.3276,0.75163,0.99585,0.95455,0.95517,0.70005,0.91271,0.91431,0.84338,0.0009176,0.0009176,0.0009176
166,526.435,1.03574,0.91574,0.80126,0.99505,0.95455,0.95517,0.69228,0.94906,0.87158,0.84801,0.000911,0.000911,0.000911
167,529.356,1.05694,1.21192,0.90236,0.99505,0.95455,0.95517,0.69228,0.94906,0.87158,0.84801,0.0009044,0.0009044,0.0009044
168,532.168,0.79587,1.52319,0.84092,0.99505,0.95455,0.95517,0.69228,0.94906,0.87158,0.84801,0.0008978,0.0008978,0.0008978
169,534.899,1.3447,1.23903,0.82893,0.99505,0.95455,0.95517,0.69228,0.94906,0.87158,0.84801,0.0008912,0.0008912,0.0008912
170,537.757,1.20305,0.81025,0.85512,0.99551,0.95455,0.95517,0.67727,1.03072,0.90261,0.8536,0.0008846,0.0008846,0.0008846
171,540.684,1.15225,1.8646,0.86054,0.99551,0.95455,0.95517,0.67727,1.03072,0.90261,0.8536,0.000878,0.000878,0.000878
172,543.449,1.08047,0.85902,0.80754,0.99551,0.95455,0.95517,0.67727,1.03072,0.90261,0.8536,0.0008714,0.0008714,0.0008714
173,546.275,0.68846,0.8308,0.74847,0.99551,0.95455,0.95517,0.67727,1.03072,0.90261,0.8536,0.0008648,0.0008648,0.0008648
174,549.065,1.03273,1.23527,0.87661,0.9988,0.95455,0.95517,0.67483,0.99992,0.88231,0.85529,0.0008582,0.0008582,0.0008582
175,552.037,1.91534,1.58995,0.83175,0.9988,0.95455,0.95517,0.67483,0.99992,0.88231,0.85529,0.0008516,0.0008516,0.0008516
176,554.769,0.76619,0.83569,0.84188,0.9988,0.95455,0.95517,0.67483,0.99992,0.88231,0.85529,0.000845,0.000845,0.000845
177,557.632,1.06925,0.74331,0.83271,0.9988,0.95455,0.95517,0.67483,0.99992,0.88231,0.85529,0.0008384,0.0008384,0.0008384
178,560.435,0.82138,0.83461,0.79657,0.99779,0.95455,0.95517,0.6799,0.92332,0.83858,0.85083,0.0008318,0.0008318,0.0008318
179,563.308,1.16882,1.22997,0.84331,0.99779,0.95455,0.95517,0.6799,0.92332,0.83858,0.85083,0.0008252,0.0008252,0.0008252
180,566.169,1.04009,0.87653,0.7704,0.99779,0.95455,0.95517,0.6799,0.92332,0.83858,0.85083,0.0008186,0.0008186,0.0008186
181,568.927,0.64812,1.64023,0.45994,0.99779,0.95455,0.95517,0.6799,0.92332,0.83858,0.85083,0.000812,0.000812,0.000812
182,571.839,0.93218,0.86357,0.80927,0.998,0.95455,0.95517,0.71414,0.84753,0.80624,0.84412,0.0008054,0.0008054,0.0008054
183,574.662,0.80932,0.70056,0.83027,0.998,0.95455,0.95517,0.71414,0.84753,0.80624,0.84412,0.0007988,0.0007988,0.0007988
184,577.544,1.00458,1.13438,0.86021,0.998,0.95455,0.95517,0.71414,0.84753,0.80624,0.84412,0.0007922,0.0007922,0.0007922
