epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
68,1479.09,1.20748,1.45742,0.5515,0.00156,0.35941,0.84869,0.74648,0.80605,0.46849,0.87088,0.72833,0.80063,0.38833,1.35168,1.6332,0.56312,0.00196,0,0.000883079,0.000883079,0.000883079
69,1503.45,1.26657,1.61851,0.57368,0.00158,0.38548,0.87036,0.7565,0.82494,0.47747,0.85902,0.74376,0.82707,0.41333,1.31588,1.67025,0.55493,0.0019,0,0.000879713,0.000879713,0.000879713
70,1525.32,1.31021,1.56568,0.61137,0.00173,0.44392,0.8659,0.76056,0.81203,0.4729,0.8552,0.75117,0.81667,0.41934,1.33533,1.65628,0.53147,0.00192,0,0.000876305,0.000876305,0.000876305
71,1546.43,1.18312,1.43613,0.53557,0.00155,0.3541,0.86676,0.73709,0.77551,0.4665,0.86153,0.73025,0.77307,0.38432,1.38059,1.69435,0.54115,0.00205,0,0.000872857,0.000872857,0.000872857
72,1567.41,1.24802,1.47289,0.56522,0.00159,0.3497,0.84088,0.79393,0.81258,0.47233,0.8691,0.71362,0.79423,0.39902,1.37071,1.63302,0.54969,0.00195,0,0.000869368,0.000869368,0.000869368
73,1587.59,1.23278,1.45426,0.54592,0.0016,0.36716,0.86628,0.78404,0.79918,0.47319,0.84434,0.76526,0.7926,0.42418,1.35066,1.67796,0.53387,0.00194,0,0.000865839,0.000865839,0.000865839
74,1608.67,1.18731,1.3687,0.5401,0.00152,0.35581,0.8484,0.76526,0.77975,0.46715,0.86462,0.71963,0.77899,0.43145,1.37373,1.71951,0.55375,0.00203,0,0.000862271,0.000862271,0.000862271
75,1628.04,1.1814,1.37779,0.5463,0.00152,0.36912,0.85432,0.77465,0.79292,0.4722,0.85311,0.76995,0.79776,0.39092,1.38929,1.69011,0.52934,0.00202,0,0.000858664,0.000858664,0.000858664
76,1647.59,1.27698,1.49473,0.55845,0.00168,0.33578,0.85088,0.75007,0.7703,0.46199,0.83984,0.73854,0.76898,0.3839,1.42494,1.67768,0.54617,0.00209,0,0.000855018,0.000855018,0.000855018
77,1668.71,1.18236,1.44384,0.50105,0.00153,0.34507,0.86266,0.73724,0.76619,0.46266,0.85717,0.73255,0.7692,0.42641,1.40353,1.68815,0.56827,0.00212,0,0.000851333,0.000851333,0.000851333
